[0.0, 2.907844117838549]
[4.4504099895504, 4.065503691467302]
[2.609272942197836, 2.5526612625006666]
[2.752861184081028, 1.9903779367610692]
[2.892054737890865, 2.2627114665542867]
[2.9350033319837987, 2.1987252612962482]
[3.0915747622839413, 2.4888951379226985]
[3.928231096329332, 3.307192124374088]
[3.2404289770430084, 2.8232383894232616]
[3.3602667779075603, 2.8204639133759537]
[2.756198372640338, 2.278959685434124]
[3.448871226860101, 2.9376001174541684]
[3.312940794481545, 2.712833890863438]
[3.0417725446196675, 2.726543006314911]
[3.1012260013648643, 2.570912211269815]
[3.372915489939342, 2.6832236590879823]
[2.6616000437360983, 2.4962870416248704]
[3.0939731720720776, 2.3682629319834825]
[3.5352233617382645, 3.469395358100349]
[3.0258950204162747, 2.7020164222269716]
[3.786848730713044, 3.1509409132148534]
[2.940948765794467, 1.9044341762668635]
[3.0276650885312173, 2.2919803092489692]
[3.0777463313283318, 2.406278433711745]
[3.68869652146595, 3.2594599530177146]
[3.0207734789518748, 1.9717676848098127]
[2.6984414430127535, 2.594128261054761]
[2.644610560998917, 2.0064853954907695]
[3.396615167186003, 2.870905403197091]
[2.6235267156371775, 1.8736609331718082]
[3.5134491064798423, 2.5899851948189294]
[3.786685317259278, 3.177902836522736]
[2.894690351229342, 2.1234139781631143]
[2.702727337715737, 1.8930630899025125]
[2.7138625882726637, 1.8478490895379556]
[2.9316300833636904, 2.177759785965901]
[3.0845073194449144, 2.695623951726761]
[2.6049207189467873, 2.7679689414988027]
[3.1780377324937485, 2.181383914746382]
[3.1906096773260666, 2.9307419010327393]
[2.966117402779095, 2.48720293206842]
[2.9099274197962393, 2.462165861745965]
[2.837338488784516, 2.5883836260485515]
[2.7565433556396326, 1.9610759123012678]
[2.775088330275093, 2.199678331918612]
[2.776045501091302, 1.9521055285095372]
[2.878845550781901, 2.7984068464480827]
[2.488257999532103, 2.351679840419237]
[2.8860285021179193, 2.1818825021848114]
[3.681258442783392, 2.7815322626673327]
[3.194214301902896, 2.4437931022757953]
[2.9011889771567803, 2.4953586906816136]
[3.80561575287929, 3.6075970340818615]
[3.089112144769432, 2.8423758116271767]
[3.062066370286413, 2.518597896694161]
[4.502373284790006, 4.0818507210370285]
[3.605218286187814, 3.4194053621269087]
[2.9625292345274845, 2.415571005486229]
[3.0942009031517332, 2.7958382177370797]
[3.1243217378046637, 2.0299974480366965]
